M,loss_db,vacuum_rate,raw_rate,raw_minus_vacuum,vacuum_d,raw_d,raw_success_probability,raw_average_target_fidelity,raw_useful_outcomes,raw_candidate_seconds,note,source_label,source_priority,vacuum_candidate_source,raw_candidate_source,vacuum_candidate_seconds,vacuum_bracket_min,vacuum_bracket_max,raw_bracket_min,raw_bracket_max,vacuum_optimizer_success,raw_optimizer_success,vacuum_optimizer_nfev,raw_optimizer_nfev,cache_evaluations,vacuum_boundary_peak,raw_boundary_peak,seconds
32,0.0,5.0,5.0,0.0,4.0,4.0,1.0,1.0,1024.0,0.0,raw d selected from seeded local branch candidates,seeded,0,,,,,,,,,,,,,,,
32,0.005,4.55168993359,4.55283870978,0.00114877619865,2.08218724281,2.07804551237,,,,,bounded scipy minimize_scalar around low-loss grid optimum,low_loss_scipy_refined,3,,,,1.84,2.32,1.84,2.32,1.0,1.0,9.0,8.0,17.0,0.0,0.0,158.987
32,0.01,4.30976465271,4.31150392105,0.00173926833865,1.9813303583,1.97713992071,,,,,bounded scipy minimize_scalar around low-loss grid optimum,low_loss_scipy_refined,3,,,,1.8,2.2,1.76,2.16,1.0,1.0,7.0,7.0,20.0,0.0,0.0,193.828
32,0.02,3.96769963864,3.97012736573,0.0024277270874,1.89433550015,1.88992362418,,,,,bounded scipy minimize_scalar around low-loss grid optimum,low_loss_scipy_refined,3,,,,1.76,2.04,1.76,2.04,1.0,1.0,6.0,8.0,14.0,0.0,0.0,157.201
32,0.03,3.71398450972,3.71682016159,0.0028356518751,1.84945355014,1.84665385359,,,,,bounded scipy minimize_scalar around low-loss grid optimum,low_loss_scipy_refined,3,,,,1.7,1.98,1.7,1.98,1.0,1.0,7.0,6.0,13.0,0.0,0.0,146.457
32,0.04,3.50859650358,3.51170863798,0.00311213439701,1.82183426259,1.81816824713,,,,,bounded scipy minimize_scalar around low-loss grid optimum,low_loss_scipy_refined,3,,,,1.72,1.92,1.72,1.92,1.0,1.0,6.0,6.0,13.0,0.0,0.0,162.914
32,0.05,3.33478364148,3.33810708727,0.00332344579337,1.80061904945,1.79683044981,,,,,bounded scipy minimize_scalar around low-loss grid optimum,low_loss_scipy_refined,3,,,,1.7,1.9,1.7,1.9,1.0,1.0,6.0,6.0,13.0,0.0,0.0,177.218
32,0.06,3.18357253352,3.18706889123,0.00349635770465,1.78365996454,1.77961462118,,,,,bounded scipy minimize_scalar around low-loss grid optimum,low_loss_scipy_refined,3,,,,1.68,1.88,1.68,1.88,1.0,1.0,6.0,6.0,13.0,0.0,0.0,191.119
32,0.07,3.04946572288,3.05310641968,0.00364069680168,1.76949491428,1.76533313418,,,,,bounded scipy minimize_scalar around low-loss grid optimum,low_loss_scipy_refined,3,,,,1.67,1.87,1.67,1.87,1.0,1.0,6.0,6.0,12.0,0.0,0.0,188.4
32,0.08,2.92880270603,2.93256301715,0.00376031112447,1.75760409634,1.7532921839,,,,,bounded scipy minimize_scalar around low-loss grid optimum,low_loss_scipy_refined,3,,,,1.66,1.86,1.65,1.85,1.0,1.0,6.0,6.0,18.0,0.0,0.0,306.944
32,0.09,2.81900566769,2.82286313819,0.00385747050015,1.74753229584,1.74314652,,,,,bounded scipy minimize_scalar around low-loss grid optimum,low_loss_scipy_refined,3,,,,1.65,1.85,1.64,1.84,1.0,1.0,6.0,6.0,18.0,0.0,0.0,309.32
32,0.1,2.71818501986,2.72211955207,0.00393453221485,1.73897593507,1.73458941222,,,,,bounded scipy minimize_scalar around low-loss grid optimum,low_loss_scipy_refined,3,,,,1.64,1.84,1.63,1.83,1.0,1.0,6.0,6.0,18.0,0.0,0.0,233.687
32,0.15,2.30831100423,2.31238342334,0.00407241910952,1.71219552472,1.7121955247,0.999999999999,0.371473769238,1024.0,27.565,raw d selected from seeded local branch candidates,seeded,0,,,,,,,,,,,,,,,
32,0.2,1.99778307885,2.00182210199,0.00403902313868,1.70129476443,1.7012947644,0.999999999999,0.294352356998,1024.0,37.407,raw d selected from seeded local branch candidates,seeded,0,,,,,,,,,,,,,,,
32,0.25,1.74664055474,1.75054182062,0.00390126587627,1.69967642213,1.6996764221,0.999999999999,0.236926481767,1024.0,68.851,raw d selected from seeded local branch candidates,seeded,0,,,,,,,,,,,,,,,
32,0.3,1.53543631557,1.53913808054,0.00370176497278,1.704854108,1.704854108,0.999999999999,0.192779626473,1024.0,84.039,raw d selected from seeded local branch candidates,seeded,0,,,,,,,,,,,,,,,
