M,constellation,generation_loss_db_per_step,raw_branch_label,raw_spacing_d,vacuum_spacing_d_interpolated,raw_hashing_bound_bits_per_attempt,vacuum_hashing_bound_bits_per_attempt_interpolated,raw_minus_vacuum_hashing_bound_bits_per_attempt
4,4-QAM,0.4,low_d,0.827718432691,0.850310496514,0.229398194706,0.223654677794,0.005743516912000007
4,4-QAM,0.45,low_d,0.782780942808,0.795510800911,0.211110863962,0.205311894844,0.005798969117999986
4,4-QAM,0.5,low_d,0.745501449364,0.753290426367,0.195461867553,0.189928020514,0.005533847038999978
8,8-QAM,0.0,high_d,1.71030131493,1.76211863158,1.36442440724,1.32892947662,0.03549493062000009
8,8-QAM,0.05,high_d,1.63658102877,1.69293168563,1.0224760569,0.985906677983,0.03656937891699996
8,8-QAM,0.1,high_d,1.58663656397,1.64939830414,0.762612289536,0.7276204619,0.03499182763600006
8,8-QAM,0.15,high_d,1.5542297115,1.62710735154,0.547190144923,0.515799312857,0.03139083206600002
8,8-QAM,0.18,high_d,1.54551397459,1.6296452201,0.433106849949,0.404821481504,0.028285368445000014
8,8-QAM,0.185,high_d,1.54531469376,1.63208891603,0.415019952593,0.387338322269,0.027681630324000006
8,8-QAM,0.19,high_d,1.54562565084,1.63531992817,0.397181282301,0.370134302485,0.027046979816000016
8,8-QAM,0.195,high_d,1.54654417186,1.63943586506,0.379586191037,0.353208574448,0.026377616588999953
8,8-QAM,0.2,high_d,1.54820049879,1.64456441224,0.36223097054,0.336562083855,0.025668886684999948
8,8-QAM,0.205,high_d,1.55077306488,1.6508124255,0.345113109623,0.320197837752,0.02491527187100001
8,8-QAM,0.21,high_d,1.55457988215,1.65826905219,0.328231717076,0.304121116266,0.024110600809999994
8,8-QAM,0.215,high_d,1.5598736545,0.611950576124,0.311588237259,0.295914795109,0.015673442149999994
8,8-QAM,0.22,high_d,1.56723352301,0.604250298157,0.295187702348,0.291859529006,0.0033281733420000292
8,8-QAM,0.225,low_d,0.604202241234,0.596128688607,0.28697997407,0.287938570739,-0.0009585966690000003
8,8-QAM,0.23,low_d,0.595750299249,0.589006011939,0.282990425643,0.284143075424,-0.001152649781000048
8,8-QAM,0.235,low_d,0.588236708491,0.582324976633,0.279123278739,0.28046367275,-0.0013403940110000012
8,8-QAM,0.24,low_d,0.580915971842,0.575672334773,0.275369407957,0.27689326003,-0.0015238520729999872
8,8-QAM,0.245,low_d,0.574058432617,0.56948302167,0.271721166143,0.27342527126,-0.0017041051169999766
8,8-QAM,0.25,low_d,0.567544351726,0.563779804957,0.268171925584,0.270053947029,-0.0018820214449999928
8,8-QAM,0.255,low_d,0.56151450155,0.558089711611,0.264715417859,0.266773816999,-0.00205839914
8,8-QAM,0.26,low_d,0.555709235133,0.552599364483,0.261346442035,0.263580245423,-0.0022338033879999997
