M,constellation,receiver,generation_loss_db_per_step,channel_loss_db,branch_label,bracket_min,bracket_max,spacing_d,hashing_bound_bits_per_attempt,success_probability,average_target_fidelity,probability_weighted_fidelity,min_coherent_information,useful_outcomes,optimizer_success,optimizer_nfev,is_boundary_peak,is_global_maximum,seconds
4,4-QAM,raw_label_srm,0.35,0.25,low_d,0.5,1.3,0.885555033082,0.251281762548,1,0.865211142085,0.865211142085,-0.371428647079,12,1,9,0,1,0.315
4,4-QAM,raw_label_srm,0.355,0.25,high_d,1.1,2.15,1.59201130125,0.235961570937,1,0.636320931723,0.636320931723,0.122206466354,16,1,9,0,0,0.197
4,4-QAM,raw_label_srm,0.355,0.25,low_d,0.5,1.3,0.878913570974,0.248890975746,0.999999999999,0.865760444102,0.865760444101,-0.37324505727,12,1,9,0,1,0.444
4,4-QAM,raw_label_srm,0.36,0.25,high_d,1.1,2.15,1.59390544303,0.228166878399,1,0.632863853891,0.632863853891,0.113944807219,16,1,9,0,0,0.421
4,4-QAM,raw_label_srm,0.36,0.25,low_d,0.5,1.3,0.8725031552,0.246550213668,1,0.866267920823,0.866267920823,-0.374931768204,12,1,9,0,1,0.284
4,4-QAM,raw_label_srm,0.4,0.25,high_d,1.1,2.15,1.1,0.195864192077,1,0.782239174041,0.782239174041,-0.401681647441,12,1,19,1,0,0.377
4,4-QAM,raw_label_srm,0.4,0.25,low_d,0.5,1.3,0.827718432691,0.229398194706,1,0.869228427992,0.869228427992,-0.385088419463,12,1,8,0,1,0.258
4,4-QAM,raw_label_srm,0.45,0.25,high_d,1.1,2.15,1.1,0.158644324957,1,0.763769191278,0.763769191278,-0.452693008939,12,1,8,1,0,0.314
4,4-QAM,raw_label_srm,0.45,0.25,low_d,0.5,1.3,0.782780942808,0.211110863962,0.999999999999,0.871288436823,0.871288436823,-0.392928201405,12,1,8,0,1,0.314
4,4-QAM,raw_label_srm,0.5,0.25,high_d,1.1,2.15,1.1,0.122684146277,1,0.745462905494,0.745462905494,-0.50217504992,12,1,7,1,0,0.125
4,4-QAM,raw_label_srm,0.5,0.25,low_d,0.5,1.3,0.745501449364,0.195461867553,0.999999999999,0.872438243629,0.872438243628,-0.398052148143,12,1,8,0,1,0.204
8,8-QAM,raw_label_srm,0,0.25,high_d,1.15,2.15,1.71030131493,1.36442440724,1,0.649609024537,0.649609024537,1.24017605052,64,1,8,0,1,2.224
8,8-QAM,raw_label_srm,0,0.25,low_d,0.28,0.9,0.9,0.783774955095,0.99999999986,0.877004828232,0.87700482811,0.112782705921,64,1,18,1,0,2.335
8,8-QAM,raw_label_srm,0.05,0.25,high_d,1.15,2.15,1.63658102877,1.0224760569,1,0.595897366127,0.595897366127,0.918690567703,64,1,9,0,1,3.570
8,8-QAM,raw_label_srm,0.05,0.25,low_d,0.28,0.9,0.9,0.635871208901,0.999999993934,0.842628423507,0.842628418395,-0.0076670411962,62,1,18,1,0,6.021
8,8-QAM,raw_label_srm,0.1,0.25,high_d,1.15,2.15,1.58663656397,0.762612289536,1,0.547750037421,0.547750037421,0.652604446254,64,1,8,0,1,3.271
8,8-QAM,raw_label_srm,0.1,0.25,low_d,0.28,0.9,0.9,0.513091335242,0.99999999986,0.809183403884,0.809183403771,-0.11133160642,62,1,18,1,0,5.874
8,8-QAM,raw_label_srm,0.15,0.25,high_d,1.15,2.15,1.5542297115,0.547190144923,1,0.502613225552,0.502613225552,0.434703215527,64,1,8,0,1,3.231
8,8-QAM,raw_label_srm,0.15,0.25,low_d,0.28,0.9,0.9,0.403338605303,0.99999999986,0.776653018763,0.776653018655,-0.207130537641,60,1,18,1,0,5.857
8,8-QAM,raw_label_srm,0.18,0.25,high_d,1.15,2.15,1.54551397459,0.433106849949,1,0.474884686826,0.474884686826,0.318801167789,64,1,8,0,1,2.996
