subfigure,M,constellation,receiver,loss_db_per_arm_code,end_to_end_loss_db_midpoint,spacing_d,hashing_bound_bits_per_attempt,grid_region,loss_db,eta,success_probability,average_target_fidelity,useful_outcomes,seconds
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.7425,0.223190297108,full_d,0.9,0.812830516164,0.999999999991,0.901991483431,12,0.013
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.745,0.223738369297,full_d,0.9,0.812830516164,0.999999999999,0.901364993396,12,0.005
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.7475,0.224280180986,full_d,0.9,0.812830516164,0.999999999999,0.900736863088,12,0.013
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.75,0.224815722205,full_d,0.9,0.812830516164,1.0,0.900107097323,12,0.024
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.7525,0.225344983704,full_d,0.9,0.812830516164,0.999999999994,0.899475700942,12,0.015
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.755,0.22586795696,full_d,0.9,0.812830516164,1.0,0.898842678805,12,0.059
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.7575,0.226384634164,full_d,0.9,0.812830516164,0.999999999996,0.898208035795,12,0.033
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.76,0.226895008236,full_d,0.9,0.812830516164,0.99999999999,0.897571776816,12,0.008
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.7625,0.227399072819,full_d,0.9,0.812830516164,1.0,0.896933906794,12,0.015
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.765,0.227896822267,full_d,0.9,0.812830516164,0.999999999999,0.896294430677,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.7675,0.228388251661,full_d,0.9,0.812830516164,0.999999999993,0.895653353436,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.77,0.228873356806,full_d,0.9,0.812830516164,0.999999999999,0.895010680061,12,0.061
