subfigure,M,constellation,receiver,interface_loss_db_per_reflection,channel_loss_db_per_arm_code,end_to_end_channel_loss_db_midpoint,phase_error_pi,phase_error_rad,optimized_spacing_d,hashing_bound_bits_per_attempt,source_folder,source_loss_db_per_interface,channel_loss_db_per_arm,eta_source,eta_channel,seed_spacing_d,bracket_min,bracket_max,success_probability,average_target_fidelity,probability_weighted_fidelity,min_coherent_information,useful_outcomes,optimizer_success,optimizer_nfev,is_boundary_peak,seconds
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.155,-0.486946861306,1.65127934769,0.430458105801,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907293873777,0.907293873777,0.329557860785,4,1,8,0,0.067
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.15,-0.471238898038,1.64794315928,0.430521161103,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907328703032,0.907328703032,0.32938326555,4,1,8,0,0.035
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.145,-0.455530934771,1.64472815541,0.43058375927,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.90736213919,0.90736213919,0.329212982143,4,1,8,0,0.165
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.14,-0.439822971503,1.64163323228,0.430645819972,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907394195161,0.907394195161,0.329047191362,4,1,8,0,0.127
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.135,-0.424115008235,1.63869071683,0.430707262814,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907421493722,0.907421493722,0.328893348229,4,1,8,0,0.023
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.13,-0.408407044967,1.63582975256,0.430768007501,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907451133827,0.907451133827,0.328736408453,4,1,8,0,0.067
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.125,-0.392699081699,1.63308561625,0.430827973185,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907479451653,0.907479451653,0.328584405147,4,1,8,0,0.302
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.12,-0.376991118431,1.63045736376,0.430887078687,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907506459784,0.907506459784,0.328437484714,4,1,8,0,0.15
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.115,-0.361283155163,1.62794408352,0.430945242217,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.90753217129,0.90753217129,0.328295784154,4,1,8,0,0.067
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.11,-0.345575191895,1.62554489635,0.431002381169,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907556599692,0.907556599692,0.32815943129,4,1,8,0,0.01
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.105,-0.329867228627,1.62325895523,0.431058411909,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907579758917,0.907579758917,0.328028545004,4,1,8,0,0.035
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.1,-0.314159265359,1.62108544531,0.431113249522,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907601663258,0.907601663258,0.327903235472,4,1,8,0,0.101
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.095,-0.298451302091,1.61902358369,0.431166807536,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907622327331,0.907622327331,0.32778360439,4,1,8,0,0.039
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.09,-0.282743338823,1.61707261935,0.431218997599,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907641766036,0.907641766036,0.327669745209,4,1,8,0,0.01
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.085,-0.267035375555,1.6152318331,0.431269729115,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.90765999452,0.90765999452,0.327561743346,4,1,8,0,0.09
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.08,-0.251327412287,1.61350053735,0.431318908815,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907677028144,0.907677028144,0.3274596764,4,1,8,0,0.109
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.075,-0.235619449019,1.61187807606,0.431366440257,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907692882456,0.907692882456,0.32736361434,4,1,8,0,0.121
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.07,-0.219911485751,1.61036382447,0.431412223228,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907707573166,0.907707573166,0.327273619683,4,1,8,0,0.054
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.065,-0.204203522483,1.60895718889,0.431456153036,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907721116137,0.907721116137,0.327189747646,4,1,8,0,0.021
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.06,-0.188495559215,1.60765760626,0.43149811964,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907733527385,0.907733527385,0.327112046259,4,1,8,0,0.151
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.055,-0.172787595947,1.60646454375,0.431538006575,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907744823091,0.907744823091,0.327040556454,4,1,8,0,0.114
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.05,-0.157079632679,1.60537749806,0.431575689601,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.90775501964,0.90775501964,0.326975312088,4,1,8,0,0.082
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.045,-0.141371669412,1.60439599446,0.431611034974,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907764133682,0.907764133682,0.326916339909,4,1,8,0,0.013
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.04,-0.125663706144,1.60351958558,0.43164389716,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907772182236,0.907772182236,0.326863659419,4,1,8,0,0.367
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.035,-0.109955742876,1.60274784959,0.431674115748,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907779182848,0.907779182848,0.326817282622,4,1,8,0,0.01
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.03,-0.0942477796077,1.6020803875,0.431701511109,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907785153844,0.907785153844,0.326777213538,4,1,8,0,0.172
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.025,-0.0785398163397,1.60151681922,0.43172587802,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907790114715,0.907790114715,0.326743447433,4,1,8,0,0.014
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.02,-0.0628318530718,1.60105677729,0.431746975728,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907794086747,0.907794086747,0.326715969493,4,1,8,0,0.016
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.015,-0.0471238898038,1.60069989587,0.431764511116,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907797094133,0.907797094133,0.326694752424,4,1,8,0,0.135
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.01,-0.0314159265359,1.60044578968,0.431778106494,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.90779916614,0.90779916614,0.326679751712,4,1,8,0,0.043
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.005,-0.0157079632679,1.60029400395,0.431787223628,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.90780034226,0.90780034226,0.326670894263,4,1,8,0,0.01
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,0.0,0.0,1.6002438095,0.431790855084,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907800693372,0.907800693372,0.326668031558,4,1,8,0,0.165
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,0.005,0.0157079632679,1.60029400396,0.431787223628,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907800342259,0.907800342259,0.326670894265,4,1,8,0,0.047
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,0.01,0.0314159265359,1.6004457897,0.431778106494,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907799166138,0.907799166138,0.326679751716,4,1,8,0,0.108
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,0.015,0.0471238898038,1.60069989588,0.431764511116,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907797094132,0.907797094132,0.326694752426,4,1,8,0,0.047
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,0.02,0.0628318530718,1.60105677728,0.431746975728,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907794086747,0.907794086747,0.326715969493,4,1,8,0,0.075
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,0.025,0.0785398163397,1.60151681923,0.43172587802,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907790114714,0.907790114714,0.326743447434,4,1,8,0,0.038
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,0.03,0.0942477796077,1.60208038749,0.431701511109,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907785153845,0.907785153845,0.326777213537,4,1,8,0,0.05
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,0.035,0.109955742876,1.60274784959,0.431674115748,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907779182848,0.907779182848,0.326817282623,4,1,8,0,0.109
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,0.04,0.125663706144,1.60351958559,0.43164389716,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907772182235,0.907772182235,0.326863659422,4,1,8,0,0.056
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,0.045,0.141371669412,1.60439599446,0.431611034974,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907764133682,0.907764133682,0.326916339909,4,1,8,0,0.059
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,0.05,0.157079632679,1.60537749806,0.431575689601,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.90775501964,0.90775501964,0.326975312089,4,1,8,0,0.032
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,0.055,0.172787595947,1.60646454375,0.431538006575,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907744823091,0.907744823091,0.327040556453,4,1,8,0,0.126
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,0.06,0.188495559215,1.60765760626,0.43149811964,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907733527385,0.907733527385,0.327112046259,4,1,8,0,0.048
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,0.065,0.204203522483,1.60895718888,0.431456153036,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907721116137,0.907721116137,0.327189747646,4,1,8,0,0.08
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,0.07,0.219911485751,1.61036382447,0.431412223228,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907707573166,0.907707573166,0.327273619683,4,1,8,0,0.263
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,0.075,0.235619449019,1.61187807606,0.431366440257,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907692882456,0.907692882456,0.32736361434,4,1,8,0,0.07
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,0.08,0.251327412287,1.61350053735,0.431318908815,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907677028144,0.907677028144,0.3274596764,4,1,8,0,0.17
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,0.085,0.267035375555,1.6152318331,0.431269729115,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.90765999452,0.90765999452,0.327561743346,4,1,8,0,0.01
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,0.09,0.282743338823,1.61707261936,0.431218997599,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907641766036,0.907641766036,0.327669745209,4,1,8,0,0.01
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,0.095,0.298451302091,1.61902358369,0.431166807536,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907622327331,0.907622327331,0.32778360439,4,1,8,0,0.071
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,0.1,0.314159265359,1.62108544531,0.431113249522,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907601663258,0.907601663258,0.327903235472,4,1,8,0,0.096
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,0.105,0.329867228627,1.62325895524,0.431058411909,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907579758917,0.907579758917,0.328028545004,4,1,8,0,0.051
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,0.11,0.345575191895,1.62554489634,0.431002381169,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907556599692,0.907556599692,0.32815943129,4,1,8,0,0.017
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,0.115,0.361283155163,1.62794408352,0.430945242217,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.90753217129,0.90753217129,0.328295784154,4,1,8,0,0.275
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,0.12,0.376991118431,1.63045736376,0.430887078687,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907506459784,0.907506459784,0.328437484715,4,1,8,0,0.041
