subfigure,M,constellation,receiver,loss_db_per_arm_code,end_to_end_loss_db_midpoint,hashing_bound_bits_per_attempt,optimized_spacing_d,source_dataset,loss_db,vacuum_rate,raw_rate,raw_minus_vacuum,vacuum_d,raw_d,source_file,raw_success_probability,raw_average_target_fidelity,raw_useful_outcomes,raw_candidate_seconds,note,source_label,source_priority,vacuum_candidate_source,raw_candidate_source,vacuum_candidate_seconds,vacuum_bracket_min,vacuum_bracket_max,raw_bracket_min,raw_bracket_max,vacuum_optimizer_success,raw_optimizer_success,vacuum_optimizer_nfev,raw_optimizer_nfev,cache_evaluations,vacuum_boundary_peak,raw_boundary_peak,seconds
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,0.96,1.92,0.232302417065,0.937778797652,merged_2_4_8_16_raw_label_srm,0.96,0.228285838525,0.232302417065,0.00401657853934,0.985536204472,0.937778797652,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,0.97,1.94,0.229873962094,0.931409764216,merged_2_4_8_16_raw_label_srm,0.97,0.225697149925,0.229873962094,0.0041768121686,0.975090984202,0.931409764216,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,0.98,1.96,0.227497878849,0.925276316252,merged_2_4_8_16_raw_label_srm,0.98,0.223185689685,0.227497878849,0.00431218916413,0.965426565688,0.925276316252,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,0.99,1.98,0.225171982514,0.919359300933,merged_2_4_8_16_raw_label_srm,0.99,0.220745594687,0.225171982514,0.00442638782754,0.956416637548,0.919359300933,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,1.0,2.0,0.222894247965,0.913642418276,merged_2_4_8_16_raw_label_srm,1.0,0.218371858898,0.222894247965,0.00452238906718,0.947969616793,0.913642418276,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,1.01,2.02,0.220662792036,0.908111352034,merged_2_4_8_16_raw_label_srm,1.01,0.216060147957,0.220662792036,0.00460264407895,0.940010097007,0.908111352034,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,1.02,2.04,0.218475858429,0.902753392532,merged_2_4_8_16_raw_label_srm,1.02,0.213806665176,0.218475858429,0.00466919325321,0.932476658925,0.902753392532,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,1.03,2.06,0.216331804776,0.897557125024,merged_2_4_8_16_raw_label_srm,1.03,0.211608052007,0.216331804776,0.00472375276901,0.925323118084,0.897557125024,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,1.04,2.08,0.214229091475,0.892512410115,merged_2_4_8_16_raw_label_srm,1.04,0.209461312378,0.214229091475,0.00476777909622,0.918507681893,0.892512410115,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,1.05,2.1,0.212166271991,0.887611524001,merged_2_4_8_16_raw_label_srm,1.05,0.20736375403,0.212166271991,0.00480251796111,0.911996003567,0.887611524001,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
