M,constellation,receiver,phase_error_pi,phase_error_rad,source_loss_db_per_interface,channel_loss_db_per_arm,eta_source,eta_channel,seed_spacing_d,bracket_min,bracket_max,optimized_spacing_d,hashing_bound_bits_per_attempt,success_probability,average_target_fidelity,probability_weighted_fidelity,min_coherent_information,useful_outcomes,optimizer_success,optimizer_nfev,is_boundary_peak,seconds
4,4-QAM,raw_label_srm,0.005,0.0157079632679,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60872988945,0.517412637251,1,0.725824039929,0.725824039929,0.405728505606,16,1,9,0,0.402
4,4-QAM,raw_label_srm,0.01,0.0314159265359,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60875398183,0.517239284922,1,0.725842899385,0.725842899385,0.405579336187,16,1,9,0,0.637
4,4-QAM,raw_label_srm,0.015,0.0471238898038,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60877630832,0.516952086934,1,0.725879176922,0.725879176922,0.405333132468,16,1,9,0,0.351
4,4-QAM,raw_label_srm,0.02,0.0628318530718,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60881872239,0.516551701171,1,0.725926905818,0.725926905818,0.404987446559,16,1,9,0,0.285
4,4-QAM,raw_label_srm,0.025,0.0785398163397,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60887409969,0.516038636061,1,0.725988018471,0.725988018471,0.404543562158,16,1,9,0,0.450
4,4-QAM,raw_label_srm,0.03,0.0942477796077,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60894204903,0.515413319295,1,0.726062612773,0.726062612773,0.404002039357,16,1,9,0,0.463
4,4-QAM,raw_label_srm,0.035,0.109955742876,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60902176271,0.514676125996,1,0.726150900585,0.726150900585,0.403363611022,16,1,9,0,0.295
4,4-QAM,raw_label_srm,0.04,0.125663706144,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60911201656,0.513827394242,1,0.726253207363,0.726253207363,0.402629187616,16,1,9,0,0.802
4,4-QAM,raw_label_srm,0.045,0.141371669412,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60921116504,0.512867435449,1,0.726369973026,0.726369973026,0.401799863608,16,1,9,0,0.363
4,4-QAM,raw_label_srm,0.05,0.157079632679,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60931713895,0.511796542439,1,0.726501752043,0.726501752043,0.400876924461,16,1,8,0,0.154
4,4-QAM,raw_label_srm,0.055,0.172787595947,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60942743282,0.51061499647,1,0.726649216192,0.726649216192,0.39986185577,16,1,8,0,0.187
4,4-QAM,raw_label_srm,0.06,0.188495559215,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60953901247,0.509323073939,1,0.726813178947,0.726813178947,0.398756363565,16,1,8,0,0.782
4,4-QAM,raw_label_srm,0.065,0.204203522483,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60964838181,0.507921053201,1,0.726994576377,0.726994576377,0.397562374925,16,1,8,0,0.482
4,4-QAM,raw_label_srm,0.07,0.219911485751,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60975152203,0.506409221794,1,0.727194482642,0.727194482642,0.396282055588,16,1,8,0,0.618
4,4-QAM,raw_label_srm,0.075,0.235619449019,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60984386488,0.504787884291,1,0.727414116075,0.727414116075,0.394917823763,16,1,8,0,0.210
4,4-QAM,raw_label_srm,0.08,0.251327412287,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60992026152,0.503057370946,1,0.72765484628,0.72765484628,0.393472364902,16,1,8,0,0.243
4,4-QAM,raw_label_srm,0.085,0.267035375555,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.6099749464,0.501218047269,1,0.727918202406,0.727918202406,0.391948647298,16,1,8,0,0.236
4,4-QAM,raw_label_srm,0.09,0.282743338823,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.61000149336,0.499270324649,1,0.72820588335,0.72820588335,0.390349938695,16,1,8,0,0.363
4,4-QAM,raw_label_srm,0.095,0.298451302091,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60999273437,0.497214672008,1,0.728519777852,0.728519777852,0.388679827659,16,1,8,0,0.160
4,4-QAM,raw_label_srm,0.1,0.314159265359,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60994071875,0.495051627637,1,0.728861973377,0.728861973377,0.386942238863,16,1,8,0,0.190
4,4-QAM,raw_label_srm,0.105,0.329867228627,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60983764484,0.492781820028,1,0.729234501692,0.729234501692,0.385141310125,16,1,8,0,0.159
4,4-QAM,raw_label_srm,0.11,0.345575191895,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60967390691,0.490405982554,1,0.729639865236,0.729639865236,0.383281669054,16,1,8,0,0.149
4,4-QAM,raw_label_srm,0.115,0.361283155163,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60943924822,0.487924967532,1,0.730080721899,0.730080721899,0.381368277391,16,1,8,0,0.208
4,4-QAM,raw_label_srm,0.12,0.376991118431,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60912267355,0.485339767639,1,0.73055990589,0.73055990589,0.379406441164,16,1,9,0,0.474
4,4-QAM,raw_label_srm,0.125,0.392699081699,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60871214145,0.482651538208,1,0.731080507734,0.731080507734,0.377401848648,16,1,9,0,0.250
4,4-QAM,raw_label_srm,0.13,0.408407044967,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60820542247,0.479861621457,1,0.731642947457,0.731642947457,0.375358945172,16,1,9,0,0.399
4,4-QAM,raw_label_srm,0.135,0.424115008235,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.6075670256,0.476971572671,1,0.732256571087,0.732256571087,0.373287297229,16,1,9,0,0.246
4,4-QAM,raw_label_srm,0.14,0.439822971503,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60679315702,0.473983188567,1,0.732922149026,0.732922149026,0.371191957657,16,1,9,0,0.438
4,4-QAM,raw_label_srm,0.145,0.455530934771,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60586820178,0.470898537306,1,0.73364359868,0.73364359868,0.369079839103,16,1,9,0,0.179
4,4-QAM,raw_label_srm,0.15,0.471238898038,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60477575466,0.467719990131,1,0.734425008542,0.734425008542,0.366958034339,16,1,8,0,0.355
4,4-QAM,raw_label_srm,0.155,0.486946861306,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60349863995,0.464450253977,1,0.73527063026,0.73527063026,0.364833739351,16,1,8,0,0.480
4,4-QAM,raw_label_srm,0.16,0.502654824574,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60201940096,0.461092404294,1,0.736184745613,0.736184745613,0.36271408463,16,1,8,0,0.367
4,4-QAM,raw_label_srm,0.165,0.518362787842,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.60032029399,0.45764991698,1,0.737171667354,0.737171667354,0.360606022006,16,1,8,0,0.154
4,4-QAM,raw_label_srm,0.17,0.53407075111,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.59838372407,0.454126697925,1,0.738235623006,0.738235623006,0.35851612189,16,1,8,0,0.263
4,4-QAM,raw_label_srm,0.175,0.549778714378,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.59619269587,0.450527108262,1,0.739380636488,0.739380636488,0.356450347327,16,1,8,0,0.289
