M,constellation,phase_error_pi,phase_error_rad,source_loss_db_per_interface,channel_loss_db_per_arm,raw_hashing_bound_bits_per_attempt,vacuum_hashing_bound_bits_per_attempt,raw_minus_vacuum_hashing_bound_bits_per_attempt,raw_optimized_spacing_d,vacuum_optimized_spacing_d,raw_minus_vacuum_optimized_spacing_d
2,2-QAM,0.2,0.628318530718,0.2,0.25,0.353536657914,0.326300379327,0.027236278587000007,1.62853513104,1.62300500987,0.0055301211700000685
2,2-QAM,0.205,0.644026493986,0.2,0.25,0.353451647214,0.32578612459,0.027665522624000016,1.63304333213,1.6287634046,0.0042799275300000605
2,2-QAM,0.21,0.659734457254,0.2,0.25,0.353366927539,0.325271910672,0.028095016867,1.63768592015,1.63468971202,0.002996208130000122
2,2-QAM,0.215,0.675442420522,0.2,0.25,0.353282600663,0.324758295291,0.028524305372000014,1.64246454007,1.64077626016,0.001688279909999979
2,2-QAM,0.22,0.69115038379,0.2,0.25,0.353198769734,0.324245837891,0.028952931843000018,1.64738088587,1.64702570865,0.00035517722000011354
2,2-QAM,0.225,0.706858347058,0.2,0.25,0.353115539355,0.323735100267,0.029380439088000032,1.65243670248,1.6534408829,-0.001004180420000056
2,2-QAM,0.23,0.722566310326,0.2,0.25,0.353033015664,0.323226647214,0.02980636845000001,1.65763378789,1.66002477549,-0.002390987599999894
2,2-QAM,0.235,0.738274273594,0.2,0.25,0.352951306408,0.322721047167,0.03023025924099998,1.6629650427,1.66676692813,-0.0038018854299999294
2,2-QAM,0.24,0.753982236862,0.2,0.25,0.352870521016,0.322218873081,0.030651647935000026,1.66845708681,1.67371152757,-0.005254440760000145
2,2-QAM,0.245,0.769690200129,0.2,0.25,0.352790770671,0.321720702782,0.03107006788900002,1.67409656148,1.68082121476,-0.006724653279999826
2,2-QAM,0.25,0.785398163397,0.2,0.25,0.352712168383,0.32122712006,0.03148504832300003,1.67988546192,1.68811327504,-0.008227813119999983
2,2-QAM,0.255,0.801106126665,0.2,0.25,0.352634829042,0.320738715223,0.03189611381899998,1.68582584431,1.6955915413,-0.009765696989999961
2,2-QAM,0.26,0.816814089933,0.2,0.25,0.352558869472,0.320256085908,0.032302783564000015,1.69191982905,1.70331003593,-0.011390206880000031
2,2-QAM,0.265,0.832522053201,0.2,0.25,0.352484408434,0.319779837848,0.03270457058599996,1.69815276244,1.71117286648,-0.013020104040000202
2,2-QAM,0.27,0.848230016469,0.2,0.25,0.352411566944,0.319310585288,0.033100981656000006,1.70457742841,1.71923437228,-0.01465694387000016
2,2-QAM,0.275,0.863937979737,0.2,0.25,0.352340467763,0.318848952057,0.03349151570600001,1.71114563607,1.72750538925,-0.01635975318000016
2,2-QAM,0.28,0.879645943005,0.2,0.25,0.35227123599,0.31839557213,0.03387566385999996,1.7178766399,1.73598955937,-0.018112919470000044
2,2-QAM,0.285,0.895353906273,0.2,0.25,0.352203998807,0.317951090204,0.03425290860300001,1.72477293585,1.74468676111,-0.019913825260000184
2,2-QAM,0.29,0.911061869541,0.2,0.25,0.352138885731,0.317516162302,0.03462272342899997,1.73188713298,1.75360157724,-0.02171444425999991
2,2-QAM,0.295,0.926769832809,0.2,0.25,0.352076028266,0.317091456297,0.03498457196900001,1.73912185541,1.76273864314,-0.023616787729999977
2,2-QAM,0.3,0.942477796077,0.2,0.25,0.352015560041,0.316677652354,0.03533790768699996,1.74653701751,1.77210262813,-0.02556561062000018
4,4-QAM,-0.3,-0.942477796077,0.2,0.25,0.353813809702,0.314855316164,0.038958493538000016,1.47570376105,1.38711611592,0.08858764512999984
4,4-QAM,-0.295,-0.926769832809,0.2,0.25,0.357393481618,0.317165245197,0.040228236420999985,1.48063639041,1.43500959216,0.045626798250000045
4,4-QAM,-0.29,-0.911061869541,0.2,0.25,0.361019743233,0.319999918373,0.04101982486,1.4857271698,1.44697619965,0.038750970150000175
4,4-QAM,-0.285,-0.895353906273,0.2,0.25,0.364692023452,0.322902256314,0.041789767138000034,1.49096806274,1.45915848256,0.03180958018000002
4,4-QAM,-0.28,-0.879645943005,0.2,0.25,0.368409489225,0.325873385386,0.04253610383899997,1.49632471327,1.47149691701,0.024827796259999868
4,4-QAM,-0.275,-0.863937979737,0.2,0.25,0.372170990293,0.328913730321,0.04325725997199997,1.50182116321,1.4839309435,0.017890219709999933
4,4-QAM,-0.27,-0.848230016469,0.2,0.25,0.375974999291,0.332022955777,0.043952043514000005,1.50742810504,1.49637798312,0.0110501219200001
4,4-QAM,-0.265,-0.832522053201,0.2,0.25,0.379819549827,0.335199902585,0.044619647242000016,1.51312484973,1.50885338682,0.004271462910000023
4,4-QAM,-0.26,-0.816814089933,0.2,0.25,0.383702175511,0.338442620941,0.04525955456999997,1.51888682753,1.52120590134,-0.002319073810000072
4,4-QAM,-0.255,-0.801106126665,0.2,0.25,0.387619854098,0.341748242697,0.04587161140099999,1.52468561498,1.53341892894,-0.008733313959999878
4,4-QAM,-0.25,-0.785398163397,0.2,0.25,0.391568961595,0.345112907924,0.046456053670999975,1.53048919813,1.5454248431,-0.014935644969999995
4,4-QAM,-0.245,-0.769690200129,0.2,0.25,0.39554524162,0.348531715917,0.04701352570299999,1.53626251055,1.55715281956,-0.020890309009999886
4,4-QAM,-0.24,-0.753982236862,0.2,0.25,0.399543794981,0.351998692806,0.04754510217500002,1.54194641663,1.56852961072,-0.026583194089999873
4,4-QAM,-0.235,-0.738274273594,0.2,0.25,0.403559094893,0.355506800599,0.04805229429400004,1.54756801895,1.5794549453,-0.0318869263499999
4,4-QAM,-0.23,-0.722566310326,0.2,0.25,0.407585026925,0.359048005091,0.048537021833999994,1.55302352647,1.58990139239,-0.036877865919999975
4,4-QAM,-0.225,-0.706858347058,0.2,0.25,0.411614959745,0.362613412042,0.049001547703000026,1.55829808381,1.59978989136,-0.041491807549999926
4,4-QAM,-0.22,-0.69115038379,0.2,0.25,0.415641838308,0.366193467712,0.04944837059599999,1.56336142938,1.60908581176,-0.045724382379999984
4,4-QAM,-0.215,-0.675442420522,0.2,0.25,0.41965829801,0.369778207565,0.04988009044499997,1.56817801649,1.61769751322,-0.04951949672999989
4,4-QAM,-0.21,-0.659734457254,0.2,0.25,0.423656791011,0.373357525613,0.050299265398000004,1.57272570794,1.62565587147,-0.05293016352999991
4,4-QAM,-0.205,-0.644026493986,0.2,0.25,0.427629717024,0.37692143799,0.05070827903399999,1.5769858213,1.63293648581,-0.05595066450999986
4,4-QAM,-0.2,-0.628318530718,0.2,0.25,0.431569549896,0.380460313768,0.051109236128,1.58094576238,1.63954726445,-0.05860150206999992
4,4-QAM,-0.195,-0.61261056745,0.2,0.25,0.435468952871,0.383965058206,0.051503894664999994,1.58459892142,1.64552352979,-0.06092460836999991
4,4-QAM,-0.19,-0.596902604182,0.2,0.25,0.439320877065,0.387427242633,0.05189363443200001,1.58794426659,1.6508198715,-0.06287560490999988
4,4-QAM,-0.185,-0.581194640914,0.2,0.25,0.443118639982,0.390839180323,0.052279459658999994,1.5909857151,1.65558217293,-0.06459645783000001
4,4-QAM,-0.18,-0.565486677646,0.2,0.25,0.446855982955,0.394193959376,0.05266202357900002,1.59373136881,1.65980022401,-0.06606885519999994
4,4-QAM,-0.175,-0.549778714378,0.2,0.25,0.450527108262,0.397485439434,0.05304166882799999,1.59619269588,1.66351583083,-0.06732313495000009
4,4-QAM,-0.17,-0.53407075111,0.2,0.25,0.454126697925,0.400708223534,0.053418474391000004,1.59838372407,1.66677119262,-0.06838746854999989
4,4-QAM,-0.165,-0.518362787842,0.2,0.25,0.45764991698,0.403857613784,0.053792303196000035,1.60032029398,1.66960776093,-0.06928746694999988
4,4-QAM,-0.16,-0.502654824574,0.2,0.25,0.461092404295,0.40692955796,0.05416284633499996,1.60201940094,1.67206547184,-0.07004607090000015
4,4-QAM,-0.155,-0.486946861306,0.2,0.25,0.464450253977,0.409920592145,0.05452966183200003,1.60349863992,1.67418227428,-0.07068363436000014
4,4-QAM,-0.15,-0.471238898038,0.2,0.25,0.467719990131,0.412827782398,0.05489220773300002,1.60477575461,1.67599375126,-0.07121799664999995
