M,constellation,loss_db,eta,spacing_d,hashing_bound_bits_per_attempt,success_probability,average_target_fidelity,useful_outcomes,grid_region,seconds
4,4-QAM,0.9,0.812830516164,0.6825,0.208196987045,1,0.916523003871,12,full_d,0.018
4,4-QAM,0.9,0.812830516164,0.685,0.208890448792,0.999999999965,0.915937271489,12,full_d,0.004
4,4-QAM,0.9,0.812830516164,0.6875,0.209578104679,0.999999999998,0.915349789414,12,full_d,0.004
4,4-QAM,0.9,0.812830516164,0.69,0.210259927592,0.999999999963,0.914760561977,12,full_d,0.046
4,4-QAM,0.9,0.812830516164,0.6925,0.21093589117,0.999999999999,0.914169593527,12,full_d,0.008
4,4-QAM,0.9,0.812830516164,0.695,0.211605969697,0.999999999997,0.91357688843,12,full_d,0.027
4,4-QAM,0.9,0.812830516164,0.6975,0.212270138188,0.999999999997,0.912982451076,12,full_d,0.014
4,4-QAM,0.9,0.812830516164,0.7,0.21292837235,0.999999999988,0.91238628587,12,full_d,0.004
4,4-QAM,0.9,0.812830516164,0.7025,0.213580648601,0.999999999999,0.911788397241,12,full_d,0.004
4,4-QAM,0.9,0.812830516164,0.705,0.214226944052,0.999999999999,0.911188789634,12,full_d,0.007
4,4-QAM,0.9,0.812830516164,0.7075,0.214867236527,0.999999999981,0.910587467516,12,full_d,0.025
4,4-QAM,0.9,0.812830516164,0.71,0.21550150457,1,0.909984435373,12,full_d,0.010
4,4-QAM,0.9,0.812830516164,0.7125,0.216129727415,1,0.909379697713,12,full_d,0.027
4,4-QAM,0.9,0.812830516164,0.715,0.216751885022,0.999999999995,0.90877325906,12,full_d,0.025
4,4-QAM,0.9,0.812830516164,0.7175,0.217367958062,0.999999999998,0.908165123963,12,full_d,0.006
4,4-QAM,0.9,0.812830516164,0.72,0.217977927917,0.999999999989,0.907555296987,12,full_d,0.024
4,4-QAM,0.9,0.812830516164,0.7225,0.218581776694,0.999999999999,0.906943782721,12,full_d,0.004
4,4-QAM,0.9,0.812830516164,0.725,0.219179487205,0.999999999999,0.906330585772,12,full_d,0.004
4,4-QAM,0.9,0.812830516164,0.7275,0.219771042988,0.999999999999,0.90571571077,12,full_d,0.045
4,4-QAM,0.9,0.812830516164,0.73,0.220356428297,0.999999999995,0.905099162362,12,full_d,0.023
4,4-QAM,0.9,0.812830516164,0.7325,0.22093562811,0.999999999999,0.904480945219,12,full_d,0.004
4,4-QAM,0.9,0.812830516164,0.735,0.221508628119,0.999999999999,0.903861064032,12,full_d,0.035
4,4-QAM,0.9,0.812830516164,0.7375,0.222075414743,0.999999999999,0.903239523513,12,full_d,0.004
4,4-QAM,0.9,0.812830516164,0.74,0.22263597512,0.999999999998,0.902616328395,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.7425,0.223190297108,0.999999999991,0.901991483431,12,full_d,0.013
4,4-QAM,0.9,0.812830516164,0.745,0.223738369297,0.999999999999,0.901364993396,12,full_d,0.005
4,4-QAM,0.9,0.812830516164,0.7475,0.224280180986,0.999999999999,0.900736863088,12,full_d,0.013
4,4-QAM,0.9,0.812830516164,0.75,0.224815722205,1,0.900107097323,12,full_d,0.024
4,4-QAM,0.9,0.812830516164,0.7525,0.225344983704,0.999999999994,0.899475700942,12,full_d,0.015
4,4-QAM,0.9,0.812830516164,0.755,0.22586795696,1,0.898842678805,12,full_d,0.059
4,4-QAM,0.9,0.812830516164,0.7575,0.226384634164,0.999999999996,0.898208035795,12,full_d,0.033
4,4-QAM,0.9,0.812830516164,0.76,0.226895008236,0.99999999999,0.897571776816,12,full_d,0.008
4,4-QAM,0.9,0.812830516164,0.7625,0.227399072819,1,0.896933906794,12,full_d,0.015
4,4-QAM,0.9,0.812830516164,0.765,0.227896822267,0.999999999999,0.896294430677,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.7675,0.228388251661,0.999999999993,0.895653353436,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.77,0.228873356806,0.999999999999,0.895010680061,12,full_d,0.061
4,4-QAM,0.9,0.812830516164,0.7725,0.229352134216,0.999999999999,0.894366415568,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.775,0.229824581127,0.999999999997,0.893720564993,12,full_d,0.009
4,4-QAM,0.9,0.812830516164,0.7775,0.230290695493,1,0.893073133394,12,full_d,0.004
4,4-QAM,0.9,0.812830516164,0.78,0.23075047598,0.999999999993,0.892424125852,12,full_d,0.047
4,4-QAM,0.9,0.812830516164,0.7825,0.231203921972,1,0.891773547471,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.785,0.231651033561,0.999999999999,0.891121403376,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.7875,0.232091811549,0.999999999992,0.890467698716,12,full_d,0.004
4,4-QAM,0.9,0.812830516164,0.79,0.232526257456,0.999999999999,0.889812438661,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.7925,0.232954373498,0.999999999999,0.889155628406,12,full_d,0.008
4,4-QAM,0.9,0.812830516164,0.795,0.233376162602,0.999999999999,0.888497273167,12,full_d,0.005
4,4-QAM,0.9,0.812830516164,0.7975,0.233791628398,1,0.887837378182,12,full_d,0.034
4,4-QAM,0.9,0.812830516164,0.8,0.234200775218,0.999999999999,0.887175948714,12,full_d,0.008
4,4-QAM,0.9,0.812830516164,0.8025,0.23460360809,0.999999999999,0.886512990048,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.805,0.235000132742,1,0.885848507491,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.8075,0.235390355591,0.999999999993,0.885182506375,12,full_d,0.004
4,4-QAM,0.9,0.812830516164,0.81,0.235774283754,1,0.884514992052,12,full_d,0.006
4,4-QAM,0.9,0.812830516164,0.8125,0.236151925027,0.999999999997,0.8838459699,12,full_d,0.039
4,4-QAM,0.9,0.812830516164,0.815,0.236523287898,0.999999999997,0.883175445319,12,full_d,0.023
4,4-QAM,0.9,0.812830516164,0.8175,0.236888381537,0.999999999999,0.882503423731,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.82,0.237247215791,0.999999999999,0.881829910584,12,low_d,0.084
4,4-QAM,0.9,0.812830516164,0.822,0.237529783488,0.999999999996,0.881290029818,12,low_d,0.030
4,4-QAM,0.9,0.812830516164,0.8225,0.237599801187,0.999999999999,0.881154911346,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.824,0.237808357603,0.999999999998,0.880749200764,12,low_d,0.019
4,4-QAM,0.9,0.812830516164,0.825,0.237946148924,1,0.88047843151,12,full_d,0.010
4,4-QAM,0.9,0.812830516164,0.826,0.23808294411,0.999999999999,0.880207426243,12,low_d,0.019
4,4-QAM,0.9,0.812830516164,0.8275,0.238286270869,1,0.879800476593,12,full_d,0.004
4,4-QAM,0.9,0.812830516164,0.828,0.238353549255,0.999999999997,0.879664709086,12,low_d,0.049
4,4-QAM,0.9,0.812830516164,0.83,0.23862017956,1,0.879121052132,12,low_d,0.003
4,4-QAM,0.9,0.812830516164,0.832,0.238882841815,0.999999999996,0.87857645823,12,low_d,0.011
4,4-QAM,0.9,0.812830516164,0.8325,0.238947888193,0.999999999997,0.878440163691,12,full_d,0.019
4,4-QAM,0.9,0.812830516164,0.834,0.239141543084,1,0.878030930239,12,low_d,0.003
4,4-QAM,0.9,0.812830516164,0.835,0.239269410628,0.999999999999,0.877757816856,12,full_d,0.030
4,4-QAM,0.9,0.812830516164,0.836,0.239396290694,0.999999999996,0.877484471027,12,low_d,0.054
4,4-QAM,0.9,0.812830516164,0.8375,0.239584761375,0.999999999998,0.877074017235,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.838,0.239647092245,0.999999999999,0.876937083472,12,low_d,0.004
4,4-QAM,0.9,0.812830516164,0.84,0.239893955597,0.999999999999,0.876388770461,12,low_d,0.004
4,4-QAM,0.9,0.812830516164,0.842,0.24013688888,0.999999999996,0.875839534891,12,low_d,0.003
4,4-QAM,0.9,0.812830516164,0.8425,0.240197009106,0.999999999999,0.875702082189,12,full_d,0.013
4,4-QAM,0.9,0.812830516164,0.844,0.240375900488,1,0.875289379669,12,low_d,0.004
4,4-QAM,0.9,0.812830516164,0.845,0.240493938355,0.999999999998,0.875013958099,12,full_d,0.086
4,4-QAM,0.9,0.812830516164,0.846,0.240610999069,0.999999999996,0.87473830771,12,low_d,0.004
4,4-QAM,0.9,0.812830516164,0.8475,0.240784760437,1,0.874324403892,12,full_d,0.022
4,4-QAM,0.9,0.812830516164,0.848,0.240842193542,1,0.874186321941,12,low_d,0.003
4,4-QAM,0.9,0.812830516164,0.85,0.241069493076,0.999999999997,0.873633425295,12,low_d,0.004
4,4-QAM,0.9,0.812830516164,0.852,0.241292907105,1,0.873079620719,12,low_d,0.003
4,4-QAM,0.9,0.812830516164,0.8525,0.241348154631,1,0.872941028057,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.854,0.241512445313,0.999999999998,0.872524911165,12,low_d,0.012
4,4-QAM,0.9,0.812830516164,0.855,0.241620764081,0.999999999999,0.872247217948,12,full_d,0.004
4,4-QAM,0.9,0.812830516164,0.856,0.241728117642,1,0.871969299599,12,low_d,0.003
4,4-QAM,0.9,0.812830516164,0.8575,0.241887341028,1,0.871552000765,12,full_d,0.028
4,4-QAM,0.9,0.812830516164,0.858,0.241939934285,1,0.871412788991,12,low_d,0.009
4,4-QAM,0.9,0.812830516164,0.86,0.242147905688,0.999999999999,0.870855382327,12,low_d,0.009
4,4-QAM,0.9,0.812830516164,0.862,0.242352042545,0.999999999998,0.870297082597,12,low_d,0.023
4,4-QAM,0.9,0.812830516164,0.8625,0.242402478889,1,0.870157368474,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.864,0.2425523558,0.999999999999,0.869737892803,12,low_d,0.021
4,4-QAM,0.9,0.812830516164,0.865,0.242651082064,1,0.869457965073,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.866,0.242748856642,1,0.869177815957,12,low_d,0.031
4,4-QAM,0.9,0.812830516164,0.8675,0.242893737245,1,0.86875717801,12,full_d,0.008
4,4-QAM,0.9,0.812830516164,0.868,0.242941556502,0.999999999998,0.868616855078,12,low_d,0.008
4,4-QAM,0.9,0.812830516164,0.87,0.24313046706,0.999999999996,0.868055013198,12,low_d,0.004
4,4-QAM,0.9,0.812830516164,0.872,0.243315600233,1,0.867492293355,12,low_d,0.023
4,4-QAM,0.9,0.812830516164,0.8725,0.243361294728,0.999999999999,0.86735147657,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.874,0.243496968176,0.999999999999,0.866928698599,12,low_d,0.026
4,4-QAM,0.9,0.812830516164,0.875,0.243586244051,0.999999999999,0.866646574084,12,full_d,0.021
4,4-QAM,0.9,0.812830516164,0.876,0.243674583285,0.999999999999,0.866364231987,12,low_d,0.003
4,4-QAM,0.9,0.812830516164,0.8775,0.243805339408,1,0.865940311718,12,full_d,0.004
4,4-QAM,0.9,0.812830516164,0.878,0.243848458189,0.999999999999,0.865798896588,12,low_d,0.004
4,4-QAM,0.9,0.812830516164,0.88,0.244018605753,0.999999999999,0.865232695478,12,low_d,0.026
4,4-QAM,0.9,0.812830516164,0.882,0.244185039072,0.999999999998,0.864665631743,12,low_d,0.008
4,4-QAM,0.9,0.812830516164,0.8825,0.244226068608,0.999999999999,0.864523731387,12,full_d,0.017
4,4-QAM,0.9,0.812830516164,0.884,0.244347771472,1,0.86409770848,12,low_d,0.022
4,4-QAM,0.9,0.812830516164,0.885,0.244427754053,0.999999999999,0.863813425495,12,full_d,0.029
4,4-QAM,0.9,0.812830516164,0.886,0.244506816505,1,0.863528928793,12,low_d,0.013
4,4-QAM,0.9,0.812830516164,0.8875,0.244623688728,1,0.863101783872,12,full_d,0.062
4,4-QAM,0.9,0.812830516164,0.888,0.244662187953,1,0.862959295796,12,low_d,0.017
4,4-QAM,0.9,0.812830516164,0.89,0.244813899818,1,0.862388812612,12,low_d,0.076
4,4-QAM,0.9,0.812830516164,0.892,0.244961966325,0.999999999999,0.861817482376,12,low_d,0.015
4,4-QAM,0.9,0.812830516164,0.8925,0.244998415053,1,0.861674517832,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.894,0.245106401922,1,0.861245308227,12,low_d,0.119
4,4-QAM,0.9,0.812830516164,0.895,0.245177262702,0.999999999998,0.86095890567,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.896,0.24524722127,1,0.860672293317,12,low_d,0.014
4,4-QAM,0.9,0.812830516164,0.8975,0.245350471561,1,0.860241982286,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.898,0.245384439249,0.999999999998,0.860098440806,12,low_d,0.004
4,4-QAM,0.9,0.812830516164,0.9,0.245518070953,0.999999999999,0.859523753864,12,low_d,0.031
4,4-QAM,0.9,0.812830516164,0.902,0.245648131685,1,0.858948235667,12,low_d,0.003
4,4-QAM,0.9,0.812830516164,0.9025,0.245680090717,0.999999999998,0.858804226608,12,full_d,0.004
4,4-QAM,0.9,0.812830516164,0.904,0.24577463696,1,0.858371889405,12,low_d,0.003
4,4-QAM,0.9,0.812830516164,0.905,0.245836561205,1,0.858083406747,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.906,0.245897602497,1,0.857794718272,12,low_d,0.004
4,4-QAM,0.9,0.812830516164,0.9075,0.245987513271,0.999999999999,0.857361300528,12,full_d,0.010
4,4-QAM,0.9,0.812830516164,0.908,0.246017044225,1,0.857216725473,12,low_d,0.003
4,4-QAM,0.9,0.812830516164,0.91,0.24613297827,1,0.856637914224,12,low_d,0.003
4,4-QAM,0.9,0.812830516164,0.912,0.246245420963,1,0.856058287746,12,low_d,0.004
4,4-QAM,0.9,0.812830516164,0.9125,0.246272988045,0.999999999999,0.855913254125,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.914,0.246354388831,0.999999999999,0.855477849271,12,low_d,0.003
4,4-QAM,0.9,0.812830516164,0.915,0.246407574924,1,0.855187326547,12,full_d,0.011
4,4-QAM,0.9,0.812830516164,0.916,0.246459898597,0.999999999999,0.854896602039,12,low_d,0.013
4,4-QAM,0.9,0.812830516164,0.9175,0.246536771713,0.999999999999,0.854460137823,12,full_d,0.004
4,4-QAM,0.9,0.812830516164,0.918,0.24656196718,1,0.8543145493,12,low_d,0.003
4,4-QAM,0.9,0.812830516164,0.92,0.246660611686,0.999999999999,0.853731694312,12,low_d,0.004
4,4-QAM,0.9,0.812830516164,0.922,0.246755849414,1,0.853148040341,12,low_d,0.063
4,4-QAM,0.9,0.812830516164,0.9225,0.246779128581,0.999999999999,0.853002002391,12,full_d,0.008
4,4-QAM,0.9,0.812830516164,0.924,0.246847697847,1,0.852563590662,12,low_d,0.004
4,4-QAM,0.9,0.812830516164,0.925,0.246892356592,0.999999999999,0.852271068457,12,full_d,0.023
4,4-QAM,0.9,0.812830516164,0.926,0.246936174653,1,0.851978348558,12,low_d,0.004
4,4-QAM,0.9,0.812830516164,0.9275,0.247000330359,0.999999999999,0.851538898931,12,full_d,0.016
4,4-QAM,0.9,0.812830516164,0.928,0.247021297684,1,0.851392317321,12,low_d,0.003
4,4-QAM,0.9,0.812830516164,0.93,0.247103084967,1,0.850805500253,12,low_d,0.004
4,4-QAM,0.9,0.812830516164,0.932,0.24718155471,1,0.850217900661,12,low_d,0.034
4,4-QAM,0.9,0.812830516164,0.9325,0.24720065593,1,0.850070878883,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.934,0.247256725292,1,0.849629521864,12,low_d,0.003
4,4-QAM,0.9,0.812830516164,0.935,0.247293079189,1,0.849335041302,12,full_d,0.060
4,4-QAM,0.9,0.812830516164,0.936,0.247328615267,1,0.849040367185,12,low_d,0.004
4,4-QAM,0.9,0.812830516164,0.9375,0.247380391106,1,0.84859799401,12,full_d,0.035
4,4-QAM,0.9,0.812830516164,0.938,0.247397243357,1,0.84845043996,12,low_d,0.003
4,4-QAM,0.9,0.812830516164,0.94,0.247462628452,1,0.847859743529,12,low_d,0.003
4,4-QAM,0.9,0.812830516164,0.942,0.247524789603,1,0.847268281243,12,low_d,0.004
4,4-QAM,0.9,0.812830516164,0.9425,0.247539828398,1,0.8471202964,12,full_d,0.039
4,4-QAM,0.9,0.812830516164,0.944,0.247583746028,1,0.846676056459,12,low_d,0.003
4,4-QAM,0.9,0.812830516164,0.945,0.247612028516,0.999999999999,0.846379659182,12,full_d,0.004
4,4-QAM,0.9,0.812830516164,0.946,0.2476395171,0.999999999999,0.846083072543,12,low_d,0.004
4,4-QAM,0.9,0.812830516164,0.9475,0.247679266761,1,0.845637838455,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.948,0.247692122352,1,0.845489332869,12,low_d,0.004
4,4-QAM,0.9,0.812830516164,0.95,0.247741581469,0.999999999999,0.844894840818,12,low_d,0.038
4,4-QAM,0.9,0.812830516164,0.952,0.247787914289,1,0.84429959978,12,low_d,0.003
4,4-QAM,0.9,0.812830516164,0.9525,0.247799011348,1,0.844150672889,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.954,0.247831140796,1,0.843703613151,12,low_d,0.004
4,4-QAM,0.9,0.812830516164,0.955,0.247851595469,1,0.843405341304,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.956,0.247871281125,1,0.843106884336,12,low_d,0.024
4,4-QAM,0.9,0.812830516164,0.9575,0.247899373259,0.999999999999,0.842658852718,12,full_d,0.004
